Order in Doc + additions,DirectoryTitle,DirectoryYear,TenantLastName,TenantFirstName,ProfessionalAddress,
86,Trow's,1862,Tomes,Robert,15 Tenth,
87,Trow's,1862,Weston,Theodore,15 Tenth,
88,Trow's,1862,Whitteredge,Worthington,15 Tenth,
89,Trow's,1862,Winter,Margaret,15 Tenth,
90,Trow's,1863,Beard,William H.,15 Tenth,
91,Trow's,1863,Bierstadt,Albert ,15 Tenth,
92,Trow's,1863,Casilear,John W.,15 Tenth,
93,Trow's,1863,Church,Frederick E.,15 Tenth,
94,Trow's,1863,Gambrill,Charles D.,19 Nassau,
95,Trow's,1863,Gifford,Sanford R.,15 Tenth,
96,Trow's,1863,Gignoux,Regis,15 Tenth,
97,Trow's,1863,Hart,William,15 Tenth,
98,Trow's,1863,Haseltine,Wiliam S.,15 Tenth,
99,Trow's,1863,Hays,William J.,15 Tenth,
100,Trow's,1863,Holly,Henry H.,111 B'way,
101,Trow's,1863,Hubbard,Richard W. ,15 Tenth,
102,Trow's,1863,Littell,Emlen T.,15 Tenth,
103,Trow's,1863,McEntee,Jervis,15 Tenth,
104,Trow's,1863,Mignot,Louis R. ,15 Tenth,
105,Trow's,1863,Osborn,Charles H.,15 Tenth,
106,Trow's,1863,Pine,Theodore,15 Tenth,
107,Trow's,1863,Shattuck,Aaron D. ,15 Tenth,
108,Trow's,1863,Suydam,James A. ,15 Tenth,
109,Trow's,1863,Thompson,Launt,15 Tenth,
110,Trow's,1863,Thorndike,George Quincy,15 Tenth,
111,Trow's,1863,Tomes,Robert,15 Tenth,
112,Trow's,1863,Tuckerman,Henry T. ,15 Tenth,
113,Trow's,1863,Whitteredge,Worthington,15 Tenth,
114,Trow's,1863,Wilson,Nathaniel,15 Tenth,
115,Trow's,1863,Winter,Margaret,15 Tenth,
116,Trow's,1864,Beard,William H.,15 Tenth,
117,Trow's,1864,Bierstadt,Albert ,15 Tenth,
118,Trow's,1864,Brown,J. G. ,15 Tenth,
119,Trow's,1864,Casilear,John W.,15 Tenth,
120,Trow's,1864,Church,Frederick E.,15 Tenth,
121,Trow's,1864,Dana,William P.,15 Tenth,
122,Trow's,1864,Gambrill,Charles D. ,19 Nassau,
123,Trow's,1864,Gifford,Sanford R.,15 Tenth,
124,Trow's,1864,Gignoux,Regis,15 Tenth,
125,Trow's,1864,Hart,William,15 Tenth,
126,Trow's,1864,Haseltine,William S. ,15 Tenth,
127,Trow's,1864,Haskell,Llewellyn,44 Cedar,
128,Trow's,1864,Hays,William J.,15 Tenth,
129,Trow's,1864,Hubbard,Richard W. ,15 Tenth,
130,Trow's,1864,Littell,Emlen T.,111 Broadway,
131,Trow's,1864,McEntee,Jervis,15 Tenth,
132,Trow's,1864,Osborn,Charles H.,15 Tenth,
133,Trow's,1864,Pine,Theodore,15 Tenth,
134,Trow's,1864,Robbins,Horace W.,15 Tenth,
135,Trow's,1864,Rogers,James H. ,15 Tenth,
136,Trow's,1864,Shattuck,Aaron D. ,15 Tenth,
137,Trow's,1864,Suydam,James A. ,15 Tenth,
138,Trow's,1864,Thompson,Launt,15 Tenth,
139,Trow's,1864,Thornburn,A. B. ,15 Tenth,
140,Trow's,1864,Thorndike,George Q. ,15 Tenth,
141,Trow's,1864,Tuckerman,Henry T. ,15 Tenth,
142,Trow's,1864,Weir,John F.,15 Tenth,
143,Trow's,1864,Whitteredge,Worthington,15 Tenth,
144,Trow's,1864,Wilson,Nathaniel,15 Tenth,
145,Trow's,1864,Winter,Margaret,15 Tenth,
146,Trow's,1865,Studio Building Association,,15 Tenth,
147,Trow's,1865,Beard,William H.,15 Tenth,
148,Trow's,1865,Bierstadt,Albert ,15 Tenth,
149,Trow's,1865,Brown,J. G. ,15 Tenth,
150,Trow's,1865,Casilear,John W.,15 Tenth,
151,Trow's,1865,Church,Frederick E.,15 Tenth,
152,Trow's,1865,Dana,William P. W.,15 Tenth,
153,Trow's,1865,Dehaas,Morris F. H.,15 Tenth,
154,Trow's,1865,Gambrill,Charles D.,19 Nassau,
155,Trow's,1865,Gifford,Sanford R.,15 Tenth,
156,Trow's,1865,Gignoux,Regis,15 Tenth,
157,Trow's,1865,Hart,William,15 Tenth,
158,Trow's,1865,Haseltine,William S. ,15 Tenth,
159,Trow's,1865,Haskell,Llewellyn,15 Tenth,
160,Trow's,1865,Hays,William J.,15 Tenth,
161,Trow's,1865,Hubbard,Richard W. ,15 Tenth,
162,Trow's,1865,Lafarge,John,15 Tenth,
163,Trow's,1865,Leutze,Emanuel,15 Tenth,
164,Trow's,1865,Littell,Emlen T.,111 Broadway,
165,Trow's,1865,McEntee,Jervis,15 Tenth,
166,Trow's,1865,Robbins,Horace W.,15 Tenth,
167,Trow's,1865,Scrymser,James A. ,15 Tenth,
168,Trow's,1865,Shattuck,Aaron D. ,15 Tenth,
169,Trow's,1865,Suydam,James A. ,15 Tenth,
170,Trow's,1865,Thompson,Launt,15 Tenth,
171,Trow's,1865,Thorndike,George Q. ,15 Tenth,
172,Trow's,1865,Tuckerman,Henry T. ,15 Tenth,
173,Trow's,1865,Weir,John F. ,15 Tenth,
174,Trow's,1865,Whitteredge,Worthington,15 Tenth,
175,Trow's,1865,Wilson,Nathaniel,15 Tenth,
176,Trow's,1865,Winter,Margaret,n/a,
177,Trow's,1866,Beard,William H.,15 Tenth,
178,Trow's,1866,Brown,John G.,15 Tenth,
179,Trow's,1866,Casilear,John W.,15 Tenth,
180,Trow's,1866,Church,Frederick E.,15 Tenth,
181,Trow's,1866,Dana,William P. W.,15 Tenth,
182,Trow's,1866,Dehaas,Morris F. H.,15 Tenth,
183,Trow's,1866,Gambrill,Charles D.,111 Broadway; 544 Broadway ,
184,Trow's,1866,Gifford,Sanford R.,15 Tenth,
185,Trow's,1866,Gignoux,Regis,15 Tenth,
186,Trow's,1866,Hart,William,15 Tenth,
187,Trow's,1866,Haseltine,William S. ,15 Tenth,
188,Trow's,1866,Hays,William J.,15 Tenth,
189,Trow's,1866,Henry,Edward L.,15 Tenth,
190,Trow's,1866,Hunt,Richard M.,15 Tenth,
191,Trow's,1866,Littell,Emlen T.,111 Broadway,
192,Trow's,1866,Martin,Homer D.,15 Tenth,
193,Trow's,1866,McEntee,Jervis,15 Tenth,
194,Trow's,1866,Robbins,Horace W.,15 Tenth,
195,Trow's,1866,Shattuck,Aaron D. ,15 Tenth,
196,Trow's,1866,Smith,Archibald C,15 Tenth,
197,Trow's,1866,Suydam,James A. ,15 Tenth,
198,Trow's,1866,Thompson,Launt,15 Tenth,
199,Trow's,1866,Thorndike,George Q. ,15 Tenth,
200,Trow's,1866,Tuckerman,Henry T. ,15 Tenth,
201,Trow's,1866,Weir,John F. ,15 Tenth,
202,Trow's,1866,Whitteredge,Worthington,15 Tenth,
203,Trow's,1866,Wilson,Nathaniel,15 Tenth,
204,Trow's,1866,Winter,Margaret,n/a,
205,Trow's,1867,Studio Building Association,n/a,51 W. 10th,
206,Trow's,1867,Studio Building Association,n/a,51 W. 10th,
207,Trow's,1867,Beard,William H.,51 W. 10th,
208,Trow's,1867,Bierstadt,Albert ,51 W. 10th,
209,Trow's,1867,Brown,John G.,51 W. 10th,
210,Trow's,1867,Casilear,John W.,51 W. 10th,
211,Trow's,1867,Church,Frederick E.,51 W. 10th,
212,Trow's,1867,Dana,William P. W.,51 W. 10th,
213,Trow's,1867,Dehaas,Morris F. H.,51 W. 10th,
214,Trow's,1867,Gambrill,Charles D.,6 Hanover,
215,Trow's,1867,Gifford,Sanford R.,51 W. 10th,
216,Trow's,1867,Gignoux,Regis,51 W. 10th,
217,Trow's,1867,Hart,William,51 W. 10th,
218,Trow's,1867,Haseltine,William S. ,51 W. 10th,
219,Trow's,1867,Hays,William J.,51 W. 10th,
220,Trow's,1867,Henry,Edward L.,51 W. 10th,
221,Trow's,1867,Hubbard,Richard W. ,51 W. 10th,
222,Trow's,1867,Hunt,Richard M.,51 W. 10th,
223,Trow's,1867,Leclear,Thomas ,51 W. 10th,
224,Trow's,1867,Littell,Emlen T.,111 Broadway,
225,Trow's,1867,Martin,Homer D.,51 W. 10th,
226,Trow's,1867,McEntee,Jervis,51 W. 10th,
227,Trow's,1867,Robbins,Horace W.,51 W. 10th,
228,Trow's,1867,Shattuck,Aaron D. ,51 W. 10th,
229,Trow's,1867,Smith,Archibald C,51 W. 10th,
230,Trow's,1867,Thompson,Launt,51 W. 10th,
231,Trow's,1867,Thorndike,George Q. ,51 W. 10th,
232,Trow's,1867,Tuckerman,Henry T. ,51 W. 10th,
233,Trow's,1867,Weir,John F. ,51 W. 10th,
234,Trow's,1867,Whitteredge,Worthington,51 W. 10th,
235,Trow's,1867,Wilson,Nathaniel,n/a,
236,Trow's,1867,Winter,Margaret,n/a,
237,Trow's,1868,Studio Building Association,n/a,51 W. 10th,
238,Trow's,1868,Beard,William H.,51 W. 10th,
239,Trow's,1868,Bierstadt,Albert ,51 W. 10th,
240,Trow's,1868,Brown,J. G. ,51 W. 10th,
241,Trow's,1868,Casilear,John W.,51 W. 10th,
242,Trow's,1868,Church,Frederick E.,51 W. 10th,
243,Trow's,1868,Dana,William P. W.,51 W. 10th,
244,Trow's,1868,Dehaas,Morris F. H.,51 W. 10th,
245,Trow's,1868,Fornisher,Maurice,51 W. 10th,
246,Trow's,1868,Gambrill,Charles D.,6 Hanover,
247,Trow's,1868,Gifford,Sanford R.,51 W. 10th,
248,Trow's,1868,Gignoux,Regis,51 W. 10th,
249,Trow's,1868,Guy,Seneca,51 W. 10th,
250,Trow's,1868,Hart,William,51 W. 10th,
251,Trow's,1868,Haseltine,William S. ,51 W. 10th,
252,Trow's,1868,Haseltine,Albert C.,51 W. 10th,
253,Trow's,1868,Hays,William J.,51 W. 10th,
254,Trow's,1868,Henry,Edward L.,51 W. 10th,
255,Trow's,1868,Hubbard,Richard W. ,51 W. 10th,
256,Trow's,1868,Hunt,Richard M.,51 W. 10th,
257,Trow's,1868,Irving,John B.,51 W. 10th,
258,Trow's,1868,Leclear,Thomas ,51 W. 10th,
259,Trow's,1868,Lindsey,Edward D.,51 W. 10th,
260,Trow's,1868,Littell,Emlen T.,111 Broadway,
261,Trow's,1868,Martin,Homer D.,51 W. 10th,
262,Trow's,1868,McEntee,Jervis,51 W. 10th,
263,Trow's,1868,Mitchell & Grant Landscaping and Rural Architecture,n/a,51 W. 10th,
264,Trow's,1868,Nilsen,Berent,51 W. 10th,
265,Trow's,1868,Pate,William ,130 Pearl,
266,Trow's,1868,Robbins,Horace W.,51 W. 10th,
267,Trow's,1868,Robinson,James W.,51 W. 10th,
268,Trow's,1868,Rundle,Richard P.,51 W. 10th,
269,Trow's,1868,Scott,Julian ,51 W. 10th,
270,Trow's,1868,Scrymser,James A. ,51 W. 10th,
271,Trow's,1868,Shattuck,Aaron D. ,51 W. 10th,
272,Trow's,1868,Thompson,Launt,51 W. 10th,
273,Trow's,1868,Thorndike,George Q. ,51 W. 10th,
274,Trow's,1868,Tuckerman,Henry T. ,51 W. 10th,
275,Trow's,1868,Vanelton,Kuseman D.,51 W. 10th,
276,Trow's,1868,Weir,John F. ,51 W. 10th,
277,Trow's,1868,Whitteredge,Worthington,51 W. 10th,
278,Trow's,1868,Winter,Margaret,51 W. 10th,
279,Trow's,1869,Studio Association,n/a,51 W. 10th,
280,Trow's,1869,Beard,William H.,51 W. 10th,
281,Trow's,1869,Bierstadt,Albert ,51 W. 10th,
282,Trow's,1869,Brown,J. G. ,51 W. 10th,
283,Trow's,1869,Casilear,John W.,51 W. 10th,
284,Trow's,1869,Church,Frederick E.,51 W. 10th,
285,Trow's,1869,Dana,William P. W.,51 W. 10th,
286,Trow's,1869,Dehaas,Morris F. H.,51 W. 10th,
287,Trow's,1869,Dehaas,William F.,51 W. 10th,
288,Trow's,1869,Fornisher,Maurice,51 W. 10th,
289,Trow's,1869,Gambrill,Charles D.,6 Hanover,
290,Trow's,1869,Gifford,Sanford R.,51 W. 10th,
291,Trow's,1869,Gignoux,Regis,51 W. 10th,
292,Trow's,1869,Hart,William,51 W. 10th,
293,Trow's,1869,Haseltine,William S. ,51 W. 10th,
294,Trow's,1869,Hays,William J.,51 W. 10th,
295,Trow's,1869,Heade,Martin J.,51 W. 10th,
296,Trow's,1869,Henry,Edward L.,51 W. 10th,
297,Trow's,1869,Hubbard,Richard W. ,51 W. 10th,
298,Trow's,1869,Hunt,Richard M.,51 W. 10th,
299,Trow's,1869,Irving,John B.,51 W. 10th,
300,Trow's,1869,LaFarge,John,51 W. 10th,
301,Trow's,1869,Lambdin,George C.,51 W. 10th,
302,Trow's,1869,Leclear,Thomas ,51 W. 10th,
303,Trow's,1869,Lindsey,Edward D.,51 W. 10th,
304,Trow's,1869,Littell,Emlen T.,111 Broadway,
305,Trow's,1869,Martin,Homer D.,51 W. 10th,
306,Trow's,1869,McEntee,Jervis,51 W. 10th,
307,Trow's,1869,Mitchell & Grant Landscaping and Rural Architecture,n/a,51 W. 10th,
308,Trow's,1869,Nilsen,Berent,51 W. 10th,
309,Trow's,1869,Pate,William ,130 Pearl,
310,Trow's,1869,Page,William,51 W. 10th,
311,Trow's,1869,Perry,Enoch W.,51 W. 10th,
312,Trow's,1869,Rundle,Richard P.,51 W. 10th,
313,Trow's,1869,Scott,Julian ,51 W. 10th,
314,Trow's,1869,Scrymser,James A. ,51 W. 10th,
315,Trow's,1869,Shattuck,Aaron D. ,51 W. 10th,
316,Trow's,1869,Smith,Archibald C,51 W. 10th,
317,Trow's,1869,Thompson,Launt,51 W. 10th,
318,Trow's,1869,Thorndike,George Q. ,51 W. 10th,
319,Trow's,1869,Tuckerman,Henry T. ,51 W. 10th,
320,Trow's,1869,Vanelton,Kuseman D.,51 W. 10th,
321,Trow's,1869,Weir,John F. ,51 W. 10th,
322,Trow's,1869,Whitteredge,Worthington,51 W. 10th,
323,Trow's,1869,Winter,Margaret,51 W. 10th,
324,Trow's,1870,Studio Association,n/a,51 W. 10th,
325,Trow's,1870,Beard,William H.,51 W. 10th,
326,Trow's,1870,Bierstadt,Albert ,51 W. 10th,
327,Trow's,1870,Bradford,Wiliam,51 W. 10th,
328,Trow's,1870,Brown,J. G. ,51 W. 10th,
329,Trow's,1870,Casilear,John W.,51 W. 10th,
330,Trow's,1870,Church,Frederick E.,51 W. 10th,
331,Trow's,1870,Dana,William P. W.,51 W. 10th,
332,Trow's,1870,Dehaas,Morris F. H.,51 W. 10th,
333,Trow's,1870,Dehaas,William F.,51 W. 10th,
334,Trow's,1870,Fornisher,Maurice,51 W. 10th,
335,Trow's,1870,Gambrill,Charles D.,6 Hanover,
336,Trow's,1870,Gifford,Francis R.,51 W. 10th,
337,Trow's,1870,Gifford,Sanford R.,51 W. 10th,
338,Trow's,1870,Guy,Seymour J.,51 W. 10th,
339,Trow's,1870,Hart,William,51 W. 10th,
340,Trow's,1870,Haseltine,William S. ,51 W. 10th,
341,Trow's,1870,Haskell,Llewellyn S.,51 W. 10th,
342,Trow's,1870,Hays,William J.,51 W. 10th,
343,Trow's,1870,Heade,Martin J.,51 W. 10th,
344,Trow's,1870,Henry,Edward L.,51 W. 10th,
345,Trow's,1870,Hubbard,Richard W. ,51 W. 10th,
346,Trow's,1870,Hunt,Richard M.,51 W. 10th,
347,Trow's,1870,Irving,John Beaufain,51 W. 10th,
348,Trow's,1870,LaFarge,John,51 W. 10th,
349,Trow's,1870,Lambdin,George C.,51 W. 10th,
350,Trow's,1870,Leclear,Thomas ,51 W. 10th,
351,Trow's,1870,Littell,Emlen T.,111 Broadway,
352,Trow's,1870,Martin,Homer D.,51 W. 10th,
353,Trow's,1870,McEntee,Jervis,51 W. 10th,
354,Trow's,1870,Nilsen,Barent,51 W. 10th,
355,Trow's,1870,Page,William,51 W. 10th,
356,Trow's,1870,Perry,Enoch W.,51 W. 10th,
357,Trow's,1870,Scott,Julian ,51 W. 10th,
358,Trow's,1870,Shattuck,Aaron D. ,51 W. 10th,
359,Trow's,1870,Smith,Archibald C,51 W. 10th,
360,Trow's,1870,Thompson,Launt,51 W. 10th,
361,Trow's,1870,Tuckerman,Henry T. ,51 W. 10th,
362,Trow's,1870,Vanelton,Kuseman D.,51 W. 10th,
363,Trow's,1870,Weir,John F. ,51 W. 10th,
364,Trow's,1870,Whitehead,G. I. ,59 Wall,
365,Trow's,1870,Whitteredge,Worthington,51 W. 10th,
366,Trow's,1870,Winter,Margaret,51 W. 10th,
367,Trow's,1871,Studio Association,n/a,51 W. 10th,
368,Trow's,1871,Beard,William H.,51 W. 10th,
369,Trow's,1871,Bierstadt,Albert ,51 W. 10th,
370,Trow's,1871,Bradford,Wiliam,51 W. 10th,
371,Trow's,1871,Brown,J. G. ,51 W. 10th,
372,Trow's,1871,Casilear,John W.,51 W. 10th,
373,Trow's,1871,Church,Frederick E.,51 W. 10th,
374,Trow's,1871,Dana,William P. W.,51 W. 10th,
375,Trow's,1871,Dehaas,Morris F. H.,51 W. 10th,
376,Trow's,1871,Dehaas,William F.,51 W. 10th,
377,Trow's,1871,Gifford,Sanford R.,51 W. 10th,
378,Trow's,1871,Griswold,Charles C.,51 W. 10th,
379,Trow's,1871,Guy,Seymour J.,51 W. 10th,
380,Trow's,1871,Haseltine,William S. ,51 W. 10th,
381,Trow's,1871,Haskell,Llewellyn S.,51 W. 10th,
382,Trow's,1871,Hays,William J.,51 W. 10th,
383,Trow's,1871,Heade,Martin J.,51 W. 10th,
384,Trow's,1871,Henry,Edward L.,51 W. 10th,
385,Trow's,1871,Hubbard,Richard W. ,51 W. 10th,
386,Trow's,1871,Hunt,Richard M.,51 W. 10th,
387,Trow's,1871,Irving,John Beaufain,51 W. 10th,
388,Trow's,1871,Leclear,Thomas ,51 W. 10th,
389,Trow's,1871,Littell,Emlen T.,111 Broadway,
390,Trow's,1871,Martin,Homer D.,51 W. 10th,
391,Trow's,1871,McEntee,Jervis,51 W. 10th,
392,Trow's,1871,Nilsen,Barent,51 W. 10th,
393,Trow's,1871,Page,William,51 W. 10th,
394,Trow's,1871,Perry,Enoch W.,51 W. 10th,
395,Trow's,1871,Scott,Julian ,51 W. 10th,
396,Trow's,1871,Shattuck,Aaron D. ,51 W. 10th,
397,Trow's,1871,Smith,Archibald C,51 W. 10th,
398,Trow's,1871,Thompson,Launt,51 W. 10th,
399,Trow's,1871,Tuckerman,Henry T. ,51 W. 10th,
400,Trow's,1871,Vanelton,Kruseman D.,51 W. 10th,
401,Trow's,1871,Weir,John F. ,51 W. 10th,
402,Trow's,1871,Whitehead,Gerrard Irvine,149 Broadway,
403,Trow's,1871,Whitteredge,Worthington,51 W. 10th,
404,Trow's,1871,Wilson,Matthew,51 W. 10th,
405,Trow's,1871,Winter,Margaret,51 W. 10th,
406,Trow's,1872,N. Y. Bond Deposit Co.,n/a,51 W. 10th,
407,Trow's,1872,Studio Association,n/a,51 W. 10th,
408,Trow's,1872,Asch,Joseph J.,6 Ferry,
409,Trow's,1872,Beard,William H.,51 W. 10th,
410,Trow's,1872,Bierstadt,Albert ,51 W. 10th,
411,Trow's,1872,Bradford,Wiliam,51 W. 10th,
412,Trow's,1872,Brown,J. G. ,51 W. 10th,
413,Trow's,1872,Casilear,John W.,51 W. 10th,
414,Trow's,1872,Church,Frederick E.,51 W. 10th,
415,Trow's,1872,Dana,William P. W.,51 W. 10th,
416,Trow's,1872,Dehaas,Morris F. H.,51 W. 10th,
417,Trow's,1872,Dehaas,William F.,51 W. 10th,
418,Trow's,1872,Gates,Henry K. ,51 W. 10th,
419,Trow's,1872,Gaylord,Thomas ,51 W. 10th,
420,Trow's,1872,Gifford,Sanford R.,51 W. 10th,
421,Trow's,1872,Guy,Seymour J.,51 W. 10th,
422,Trow's,1872,Haskell,Llewellyn S.,51 W. 10th,
423,Trow's,1872,Hays,William J.,51 W. 10th,
424,Trow's,1872,Henderson,Robert J.,34 Wall,
425,Trow's,1872,Henry,Edward L.,51 W. 10th,
426,Trow's,1872,Hubbard,Richard W. ,51 W. 10th,
427,Trow's,1872,Irving,John Beaufain,51 W. 10th,
428,Trow's,1872,Leclear,Thomas ,51 W. 10th,
429,Trow's,1872,Martin,Homer D.,51 W. 10th,
430,Trow's,1872,McEntee,Jervis,51 W. 10th,
431,Trow's,1872,Nicoll,James C.,51 W. 10th,
432,Trow's,1872,Page,William,51 W. 10th,
433,Trow's,1872,Perry,Enoch W.,51 W. 10th,
434,Trow's,1872,Scott,Julian ,51 W. 10th,
435,Trow's,1872,Shattuck,Aaron D. ,51 W. 10th,
436,Trow's,1872,Smith,Archibald C,51 W. 10th,
437,Trow's,1872,Thompson,Launt,51 W. 10th,
438,Trow's,1872,Tuckerman,Henry T. ,51 W. 10th,
439,Trow's,1872,Vanelten,Kruseman D.,51 W. 10th,
440,Trow's,1872,Weir,John F. ,51 W. 10th,
441,Trow's,1872,Whitehead,Gerrard Irvine,11 Wall,
442,Trow's,1872,Whitteredge,Worthington,51 W. 10th,
443,Trow's,1872,Wilmarth,Lemuel,51 W. 10th,
444,Trow's,1872,Wilson,Matthew,51 W. 10th,
445,Trow's,1872,Winter,Margaret,51 W. 10th,
446,Trow's,1873,Asch,Joseph J.,3 Ferry,
447,Trow's,1873,Beard,William H.,51 W. 10th,
448,Trow's,1873,Bierstadt,Albert ,51 W. 10th,
449,Trow's,1873,Bradford,Wiliam,51 W. 10th,
450,Trow's,1873,Brown,J. G. ,51 W. 10th,
451,Trow's,1873,Casilear,John W.,51 W. 10th,
452,Trow's,1873,Church,Frederick E.,51 W. 10th,
453,Trow's,1873,Dana,William P. W.,51 W. 10th,
454,Trow's,1873,Dehaas,Morris F. H.,51 W. 10th,
455,Trow's,1873,Dehaas,William F.,51 W. 10th,
456,Trow's,1873,Fitch,John L.,51 W. 10th,
457,Trow's,1873,Gifford,Sanford R.,51 W. 10th,
458,Trow's,1873,Guy,Seymour J.,51 W. 10th,
459,Trow's,1873,Hays,William J.,51 W. 10th,
460,Trow's,1873,Heade,Martin J.,34 Wall,
461,Trow's,1873,Henry,Edward L.,51 W. 10th,
462,Trow's,1873,Homer,Winslow,51 W. 10th,
463,Trow's,1873,Hubbard,Richard W. ,51 W. 10th,
464,Trow's,1873,Irving,John Beaufain,51 W. 10th,
465,Trow's,1873,Leclear,Thomas ,51 W. 10th,
466,Trow's,1873,Martin,Homer D.,51 W. 10th,
467,Trow's,1873,McEntee,Jervis,51 W. 10th,
468,Trow's,1873,Merritt,Francis,51 W. 10th,
469,Trow's,1873,Nicoll,James C.,51 W. 10th,
470,Trow's,1873,Page,William,51 W. 10th,
471,Trow's,1873,Perry,Enoch W.,51 W. 10th,
